S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
1,CBLD88,32.04,"1,182.10","1,182.10","1,182.10","1,182.10","1,182.10",0.00,0.00,"1,182.10",25.00,"1,189.00","29,552.50",1,-6.90,0.00,-0.58,0.00,0.00,"1,180.77","1,167.24","1,265.00","1,108.00"
2,CCBD88,32.40,"1,240.00","1,240.00","1,240.00","1,240.00","1,240.00",0.00,0.00,"1,240.00",175.00,"1,216.00","217,000.00",2,24.00,0.00,1.97,0.00,0.00,"1,183.90","1,170.16","1,281.00","1,115.00"
3,CIZBD90,39.35,"1,191.00","1,210.00","1,191.00","1,210.00","1,210.00",0.00,0.00,"1,200.50",50.00,"1,187.00","60,025.00",2,23.00,19.00,1.94,1.60,0.79,"1,166.90","1,127.92","1,303.00","1,114.40"
4,GBILD86/87,35.50,"1,085.00","1,085.00","1,085.00","1,085.00","1,085.00",0.00,0.00,"1,085.00",25.00,"1,082.10","27,125.00",1,2.90,0.00,0.27,0.00,0.00,"1,065.69","1,051.53","1,142.00","1,015.00"
5,GBIMEP,31.40,100.00,100.00,100.00,100.00,100.00,0.00,0.00,100.00,"23,846.00",100.00,"2,384,600.00",1,0.00,0.00,0.00,0.00,0.00,109.12,124.47,122.00,100.00
6,GWFD83,38.52,"1,125.00","1,125.00","1,120.00","1,120.00","1,120.00",0.00,0.00,"1,120.83",600.00,"1,115.80","672,500.00",7,4.20,5.00,0.38,0.45,-0.07,"1,216.08","1,219.47","1,464.80","1,090.00"
7,ICFCD88,31.27,"1,145.00","1,150.00","1,140.00","1,150.00","1,150.00",0.00,0.00,"1,145.00",75.00,"1,138.00","85,875.00",3,12.00,10.00,1.05,0.88,0.43,"1,116.37","1,108.74","1,216.00","1,000.00"
8,NABILD87,28.78,"1,133.00","1,133.50","1,133.00","1,133.50","1,133.50",0.00,0.00,"1,133.25",100.00,"1,156.00","113,325.00",4,-22.50,0.50,-1.95,0.04,0.02,"1,088.65","1,064.26","1,180.00","1,040.00"
9,NBBD2085,36.00,"1,150.00","1,150.00","1,150.00","1,150.00","1,150.00",0.00,0.00,"1,150.00",100.00,"1,135.00","115,000.00",1,15.00,0.00,1.32,0.00,0.00,"1,116.15",0.00,"1,206.30","1,078.60"
10,NICD83/84,43.31,"1,119.50","1,120.00","1,119.50","1,120.00","1,120.00",0.00,0.00,"1,119.59",265.00,"1,119.50","296,692.50",2,0.50,0.50,0.04,0.04,0.04,"1,058.22","1,037.73","1,145.00","1,050.40"
11,PBLD84,41.29,"1,129.50","1,134.00","1,129.50","1,134.00","1,134.00",0.00,0.00,"1,132.57",98.00,"1,112.00","110,992.00",4,22.00,4.50,1.98,0.40,0.13,"1,104.67","1,092.49","1,150.00","1,062.10"
12,RBBD2088,19.51,"1,052.10","1,052.10","1,052.10","1,052.10","1,052.10",0.00,0.00,"1,052.10",25.00,"1,060.00","26,302.50",1,-7.90,0.00,-0.75,0.00,0.00,0.00,0.00,"1,100.00",967.60
13,SNMAPO,39.87,180.00,180.00,180.00,180.00,180.00,0.00,0.00,180.00,"339,484.00",183.00,"61,107,120.00",1,-3.00,0.00,-1.64,0.00,0.00,0.00,0.00,180.00,167.00
