symbol,sector
ADBL,Commercial Banks
CZBIL,Commercial Banks
EBL,Commercial Banks
GBIME,Commercial Banks
HBL,Commercial Banks
KBL,Commercial Banks
MBL,Commercial Banks
NABIL,Commercial Banks
NBL,Commercial Banks
NICA,Commercial Banks
NMB,Commercial Banks
PCBL,Commercial Banks
SANIMA,Commercial Banks
SBI,Commercial Banks
SBL,Commercial Banks
SCB,Commercial Banks
PRVU,Commercial Banks
NIMB,Commercial Banks
LSL,Commercial Banks
CORBL,Development Bank Limited
EDBL,Development Bank Limited
GBBL,Development Bank Limited
JBBL,Development Bank Limited
MDB,Development Bank Limited
MNBBL,Development Bank Limited
NABBC,Development Bank Limited
SADBL,Development Bank Limited
SHINE,Development Bank Limited
SINDU,Development Bank Limited
GRDBL,Development Bank Limited
SABBL,Development Bank Limited
MLBL,Development Bank Limited
LBBL,Development Bank Limited
KSBBL,Development Bank Limited
SAPDBL,Development Bank Limited
CFCL,Finance
GFCL,Finance
GMFIL,Finance
ICFC,Finance
JFL,Finance
MFIL,Finance
MPFL,Finance
NFS,Finance
PFL,Finance
PROFL,Finance
SIFC,Finance
RLFL,Finance
GUFL,Finance
BFC,Finance
SFCL,Finance
OHL,Hotels And Tourism
SHL,Hotels And Tourism
TRH,Hotels And Tourism
CGH,Hotels And Tourism
KDL,Hotels And Tourism
CITY,Hotels And Tourism
BANDIPUR,Hotels And Tourism
HFIN,Hotels And Tourism
AHPC,Hydro Power
BPCL,Hydro Power
CHCL,Hydro Power
NHPC,Hydro Power
SHPC,Hydro Power
HURJA,Hydro Power
AKPL,Hydro Power
BARUN,Hydro Power
API,Hydro Power
NGPL,Hydro Power
MHL,Hydro Power
NYADI,Hydro Power
SJCL,Hydro Power
RHPL,Hydro Power
UMHL,Hydro Power
DORDI,Hydro Power
PHCL,Hydro Power
PPL,Hydro Power
UPCL,Hydro Power
SPL,Hydro Power
SPDL,Hydro Power
MKJC,Hydro Power
SAHAS,Hydro Power
KKHC,Hydro Power
HPPL,Hydro Power
DHPL,Hydro Power
BHPL,Hydro Power
MHNL,Hydro Power
CHL,Hydro Power
USHL,Hydro Power
SPHL,Hydro Power
NHDL,Hydro Power
RADHI,Hydro Power
BNHC,Hydro Power
RHGCL,Hydro Power
KPCL,Hydro Power
